Categoría: Todas las categorías

Semana,cetes: (México)
2022-02-27,32
2022-03-06,31
2022-03-13,33
2022-03-20,30
2022-03-27,32
2022-04-03,33
2022-04-10,31
2022-04-17,33
2022-04-24,33
2022-05-01,36
2022-05-08,36
2022-05-15,36
2022-05-22,29
2022-05-29,36
2022-06-05,39
2022-06-12,41
2022-06-19,45
2022-06-26,46
2022-07-03,46
2022-07-10,45
2022-07-17,45
2022-07-24,45
2022-07-31,46
2022-08-07,48
2022-08-14,50
2022-08-21,48
2022-08-28,43
2022-09-04,45
2022-09-11,42
2022-09-18,41
2022-09-25,53
2022-10-02,53
2022-10-09,46
2022-10-16,47
2022-10-23,43
2022-10-30,48
2022-11-06,56
2022-11-13,55
2022-11-20,38
2022-11-27,45
2022-12-04,52
2022-12-11,53
2022-12-18,55
2022-12-25,66
2023-01-01,100
2023-01-08,85
2023-01-15,83
2023-01-22,75
2023-01-29,79
2023-02-05,79
2023-02-12,70
2023-02-19,76
