Categoría: Todas las categorías

Semana,inflación: (México)
2022-02-27,63
2022-03-06,73
2022-03-13,68
2022-03-20,80
2022-03-27,77
2022-04-03,87
2022-04-10,52
2022-04-17,55
2022-04-24,76
2022-05-01,87
2022-05-08,82
2022-05-15,84
2022-05-22,65
2022-05-29,64
2022-06-05,71
2022-06-12,74
2022-06-19,65
2022-06-26,64
2022-07-03,57
2022-07-10,100
2022-07-17,81
2022-07-24,64
2022-07-31,63
2022-08-07,79
2022-08-14,70
2022-08-21,77
2022-08-28,81
2022-09-04,86
2022-09-11,68
2022-09-18,68
2022-09-25,84
2022-10-02,79
2022-10-09,66
2022-10-16,65
2022-10-23,64
2022-10-30,65
2022-11-06,86
2022-11-13,66
2022-11-20,61
2022-11-27,76
2022-12-04,66
2022-12-11,56
2022-12-18,48
2022-12-25,51
2023-01-01,97
2023-01-08,94
2023-01-15,78
2023-01-22,67
2023-01-29,66
2023-02-05,73
2023-02-12,64
2023-02-19,50
